"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"NDUFS7",0.000367429738166444,0.0461473829357799,0.435,0.347,1,"NDUFS7"
"SNRPG",0.000369187553755206,0.0489292386451561,0.851,0.768,1,"SNRPG"
"U2AF2",0.000369316926264199,0.0699279026642978,0.555,0.453,1,"U2AF2"
"UTP18",0.000369859859041035,-0.0238421350518747,0.318,0.267,1,"UTP18"
"PSTPIP1",0.000370512767157392,0.0319789178429272,0.296,0.222,1,"PSTPIP1"
"PTTG1IP",0.00037082564837933,0.135984586491856,0.356,0.255,1,"PTTG1IP"
"SNRPD2",0.000372496737215594,-0.166529497625475,0.905,0.896,1,"SNRPD2"
"TMEM134",0.000374301410676733,0.0770811552680359,0.48,0.382,1,"TMEM134"
"ACSS1",0.000374778058049113,0.0974653582274417,0.224,0.141,1,"ACSS1"
"RCE1",0.000376054729362737,0.0751991577566505,0.294,0.208,1,"RCE1"
"GPR108",0.000377553783454264,0.0749589775778517,0.336,0.243,1,"GPR108"
"ZNF267",0.000379077772856638,-0.178498208815465,0.326,0.373,1,"ZNF267"
"ZNF107",0.000380178894017261,-0.0383441545879613,0.468,0.395,1,"ZNF107"
"MPHOSPH8",0.000380345237342088,0.0689613329751306,0.692,0.589,1,"MPHOSPH8"
"SERINC5",0.000381566032059473,0.0127738115535714,0.346,0.263,1,"SERINC5"
"RAD23B",0.000382292507640186,0.0676348469152395,0.398,0.31,1,"RAD23B"
"IST1",0.000382332435164926,0.07446462536034,0.562,0.459,1,"IST1"
"TMEM150A",0.000382441284787672,0.0551862674806353,0.129,0.07,1,"TMEM150A"
"AC243960.1",0.000383860160854497,-0.102566706898836,0.209,0.194,1,"AC243960.1"
"UQCR10",0.000384242166874976,-0.12336221063948,0.667,0.656,1,"UQCR10"
"RALGAPA2",0.00038443129890628,0.0687752215480208,0.142,0.078,1,"RALGAPA2"
"ATXN2L",0.000385654773929612,0.151877762618563,0.565,0.454,1,"ATXN2L"
"SMG1",0.000385935986278107,0.0541821639023266,0.701,0.602,1,"SMG1"
"PPIB",0.00038658803779819,0.0565284853597752,0.935,0.869,1,"PPIB"
"TRAPPC2B",0.000387514443430434,-0.154475574889714,0.152,0.206,1,"TRAPPC2B"
"NNT",0.000388090183575491,0.0486128640560579,0.211,0.141,1,"NNT"
"MICAL3",0.000389013712454426,0.107477617150524,0.241,0.155,1,"MICAL3"
"FBXL4",0.000389672514008529,0.0189304968654026,0.157,0.102,1,"FBXL4"
"STAT6",0.00039102861511616,-0.0346189301047191,0.679,0.607,1,"STAT6"
"PSMA3",0.000391126933844504,0.0769050268205745,0.512,0.408,1,"PSMA3"
"RANGAP1",0.000392662464856602,-0.161819388360936,0.249,0.287,1,"RANGAP1"
"NDUFA1",0.000393032257511337,-0.132627818799693,0.774,0.748,1,"NDUFA1"
"OST4",0.00039575925765886,0.110600382287476,0.93,0.871,1,"OST4"
"ILF3",0.000399038706412889,-0.123348886131424,0.741,0.713,1,"ILF3"
"SNX29",0.000399544515789129,-0.0984115089695345,0.585,0.555,1,"SNX29"
"TMEM60",0.00039982559302397,0.0151253915258661,0.219,0.156,1,"TMEM60"
"YIPF1",0.00040142282027737,0.0573823908899422,0.139,0.08,1,"YIPF1"
"SMCR8",0.000403145434201152,0.0787623293618824,0.152,0.084,1,"SMCR8"
"TJAP1",0.000404024058427264,0.0725352421781065,0.174,0.104,1,"TJAP1"
"ARHGAP5",0.000404308905214201,0.056407094733591,0.351,0.258,1,"ARHGAP5"
"JKAMP",0.000405435291638634,0.0655659379089978,0.236,0.16,1,"JKAMP"
"DLGAP4",0.000406248161191193,0.135088406861281,0.545,0.436,1,"DLGAP4"
"ATG5",0.000406469332508862,-0.0191380430405854,0.423,0.354,1,"ATG5"
"BCL7B",0.0004080072659118,-0.0923492261321021,0.527,0.493,1,"BCL7B"
"PPP4R3A",0.000409497441191272,0.0918655651150541,0.517,0.42,1,"PPP4R3A"
"THOC3",0.000410137999668808,0.0843602412373057,0.289,0.204,1,"THOC3"
"DPH3",0.00041050229095696,-0.093046020414284,0.353,0.333,1,"DPH3"
"STX8",0.000412364231309192,0.0846173076648525,0.209,0.131,1,"STX8"
"DEDD",0.000412667419525958,0.10063615877651,0.371,0.271,1,"DEDD"
"DR1",0.000413244568680724,0.0423924811216568,0.478,0.389,1,"DR1"
"SDHD",0.000413561917024731,-0.110381363320182,0.117,0.138,1,"SDHD"
"HDAC3",0.000414067866620995,0.0601382817718259,0.368,0.28,1,"HDAC3"
"SMAP2",0.000414330143916236,0.0573459572230259,0.657,0.561,1,"SMAP2"
"MRPS22",0.000416841179780647,-0.0200945812578106,0.318,0.269,1,"MRPS22"
"GTF2E2",0.000417086739745742,0.08129295945556,0.396,0.3,1,"GTF2E2"
"TAF8",0.00041920480368279,0.113163822079903,0.229,0.147,1,"TAF8"
"NSUN2",0.000419348198297287,0.128402485970859,0.413,0.308,1,"NSUN2"
"CREBBP",0.000419625789675976,0.0581652417065465,0.483,0.388,1,"CREBBP"
"MKNK2",0.000421090127398824,-0.119225751885578,0.522,0.51,1,"MKNK2"
"LACTB2",0.000421950906788546,0.0666071578953831,0.159,0.096,1,"LACTB2"
"PPP2R1A",0.000422106273613514,0.0751708324668592,0.724,0.626,1,"PPP2R1A"
"POLR3A",0.000422403266387838,0.0831508992192446,0.162,0.092,1,"POLR3A"
"CCDC137",0.000422635716993762,-0.0706413610849523,0.271,0.242,1,"CCDC137"
"NORAD",0.000423540760667638,-0.199390161627366,0.368,0.431,1,"NORAD"
"PCMTD2",0.00042488826898246,-0.170041087328678,0.102,0.156,1,"PCMTD2"
"AAGAB",0.000426026347306952,0.0817672747111808,0.254,0.169,1,"AAGAB"
"TMEM131L",0.000428730510626507,0.0388718645614894,0.639,0.542,1,"TMEM131L"
"DCTD",0.000429399538498873,0.018611862919787,0.291,0.226,1,"DCTD"
"CSNK1G3",0.00043225547186371,-0.0213541543298745,0.368,0.304,1,"CSNK1G3"
"ATG101",0.000432599593989777,-0.140677789128702,0.388,0.407,1,"ATG101"
"TAOK3",0.000434186012439394,-0.0325494318499816,0.552,0.486,1,"TAOK3"
"PHKB",0.000435248184620506,-0.17792165778709,0.266,0.289,1,"PHKB"
"TBL2",0.000436735817525193,0.0663222923794984,0.157,0.09,1,"TBL2"
"GBE1",0.000437061644078466,0.0699562097413185,0.197,0.123,1,"GBE1"
"EXOSC5",0.000437981801083937,0.054360934778421,0.127,0.068,1,"EXOSC5"
"POR",0.000439408444205629,-0.136243210273803,0.333,0.352,1,"POR"
"CENPX",0.000442073698484128,-0.144067435751023,0.09,0.144,1,"CENPX"
"TP53TG1",0.000442942422387077,-0.151256114511166,0.127,0.198,1,"TP53TG1"
"ETV6",0.000443188794132972,-0.164811449633263,0.453,0.451,1,"ETV6"
"RBMX",0.000444088565540581,0.0602987480354849,0.774,0.684,1,"RBMX"
"LRRC57",0.000444921817436834,0.0502578802329496,0.231,0.154,1,"LRRC57"
"MRPL9",0.000446255209441625,-0.156095239843052,0.301,0.343,1,"MRPL9"
"CHIC1",0.000447435305264151,0.0514406409054093,0.127,0.07,1,"CHIC1"
