"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"SEC11C",1.998721738049e-39,0.105720298840872,0.459,0.269,4.82351517043366e-35,"SEC11C"
"FRY",2.06508132959786e-39,-0.403101936707179,0.265,0.26,4.98366077271851e-35,"FRY"
"ESYT1",2.07410856569945e-39,0.0356718722505154,0.422,0.256,5.00544620160249e-35,"ESYT1"
"CCDC130",2.10594442530599e-39,-0.151570302576452,0.23,0.151,5.08227568159094e-35,"CCDC130"
"CHD2",2.15125745592661e-39,-0.118954414911944,0.81,0.636,5.1916296183877e-35,"CHD2"
"SMIM26",2.15328908145016e-39,0.0818172231136599,0.449,0.27,5.19653254026367e-35,"SMIM26"
"ZNF622",2.15812341194299e-39,0.131082145069342,0.303,0.133,5.20819923004202e-35,"ZNF622"
"SETD2",2.18957146142152e-39,-0.175516772245011,0.44,0.323,5.28409280784855e-35,"SETD2"
"SMPD4",2.19916889339015e-39,-0.056093419001025,0.239,0.135,5.30725429041844e-35,"SMPD4"
"HDAC3",2.22267827424841e-39,-0.0491754163535915,0.285,0.177,5.36398947924369e-35,"HDAC3"
"NSFL1C",2.22318948372565e-39,-0.0370054199649731,0.342,0.212,5.3652231810751e-35,"NSFL1C"
"CYTOR",2.24977835794323e-39,0.258161207409749,0.179,0.032,5.42939011122441e-35,"CYTOR"
"MAP4K5",2.25949793512812e-39,-0.306437750421357,0.328,0.284,5.45284636684469e-35,"MAP4K5"
"XPC",2.26167678577831e-39,-0.0291423385235601,0.277,0.157,5.45810458711879e-35,"XPC"
"MBTPS1",2.26297134410182e-39,-0.347715857959324,0.231,0.211,5.46122874472092e-35,"MBTPS1"
"BCLAF1",2.3302005955158e-39,-0.00883960748078838,0.775,0.591,5.62347309715828e-35,"BCLAF1"
"USP42",2.36881987602499e-39,0.0149928092287375,0.198,0.086,5.7166730068111e-35,"USP42"
"FXR1",2.39625431366969e-39,0.0120456434713228,0.46,0.303,5.78288053517906e-35,"FXR1"
"EEF1G",2.4495106829324e-39,0.148414077408518,0.334,0.162,5.91140413112077e-35,"EEF1G"
"WEE1",2.46655547725116e-39,0.0411509253234278,0.232,0.103,5.95253833325022e-35,"WEE1"
"ANKRD17",2.49493747029154e-39,-0.100850141446176,0.298,0.187,6.02103259705457e-35,"ANKRD17"
"ACP1",2.56590124342237e-39,-0.150951795321073,0.409,0.316,6.1922894707512e-35,"ACP1"
"IWS1",2.66974605631691e-39,0.00284529130951394,0.286,0.154,6.44289815770959e-35,"IWS1"
"ARL6IP5",2.69209526395972e-39,-0.126399805643385,0.557,0.438,6.49683350051398e-35,"ARL6IP5"
"NLRP1",2.87550483365745e-39,-0.431391697137963,0.258,0.269,6.93945581506552e-35,"NLRP1"
"SUCO",3.01593880492993e-39,-0.126610790876957,0.291,0.189,7.27836511793741e-35,"SUCO"
"RNF130",3.01745996907466e-39,0.140022667971407,0.485,0.291,7.28203614336787e-35,"RNF130"
"STX12",3.27853442984825e-39,-0.16206832579977,0.311,0.228,7.91208713955279e-35,"STX12"
"RNF40",3.29279781422304e-39,0.0591628011828072,0.255,0.122,7.94650896506446e-35,"RNF40"
"KIAA1468",3.32986604939132e-39,-0.2733095819426,0.216,0.175,8.03596573699607e-35,"KIAA1468"
"MEPCE",3.37631042610696e-39,0.219374765774474,0.231,0.068,8.14804995132393e-35,"MEPCE"
"CAT",3.3804165045106e-39,-0.0923454361148337,0.35,0.24,8.15795915033543e-35,"CAT"
"RCOR1",3.42492202656773e-39,0.0379073018063644,0.159,0.055,8.26536432671589e-35,"RCOR1"
"PRKD2",3.46554429415202e-39,0.00898880733678409,0.261,0.132,8.36339804507706e-35,"PRKD2"
"LILRA4",3.51078645197237e-39,0.306484567168816,0.189,0.037,8.47258094454492e-35,"LILRA4"
"MAPK1",3.53463901029719e-39,0.0243013398738173,0.307,0.163,8.5301443235502e-35,"MAPK1"
"SRRT",3.55141393430927e-39,0.0808715647587031,0.387,0.217,8.57062724766856e-35,"SRRT"
"PHAX",3.59027568428266e-39,0.0308660733336323,0.249,0.123,8.66441230887933e-35,"PHAX"
"IL6ST",3.66725134648173e-39,-0.378429359190774,0.258,0.25,8.85017767446437e-35,"IL6ST"
"NDUFA12",3.76989209160753e-39,0.189904635209902,0.393,0.199,9.09788058467644e-35,"NDUFA12"
"MGAT1",3.80884651013848e-39,0.287263733688105,0.363,0.157,9.19188928291719e-35,"MGAT1"
"PSMA4",3.88343093594058e-39,0.000452891630302821,0.416,0.263,9.3718838777054e-35,"PSMA4"
"ZHX2",3.90533876607876e-39,0.20565403085036,0.295,0.119,9.42475404417787e-35,"ZHX2"
"RPL39",3.90734960224108e-39,0.185567496552056,0.989,0.928,9.42960679508839e-35,"RPL39"
"TRAPPC1",3.93968922382477e-39,-0.194876120012337,0.418,0.348,9.50765200385633e-35,"TRAPPC1"
"IRF5",3.94965508944727e-39,0.234363581412821,0.359,0.157,9.53170262736309e-35,"IRF5"
"ZC3H13",3.97996877270666e-39,-0.108043680895035,0.279,0.176,9.60485863917299e-35,"ZC3H13"
"RNF181",4.12353980957644e-39,0.0327981536113987,0.433,0.273,9.95133862245083e-35,"RNF181"
"TBC1D9B",4.13093582610691e-39,0.0287317063238626,0.336,0.189,9.96918742914382e-35,"TBC1D9B"
"TMEM50B",4.13188844164674e-39,-0.0358815266280461,0.303,0.185,9.97148637622609e-35,"TMEM50B"
"QRSL1",4.23908981126822e-39,-0.35159259092315,0.301,0.264,1.02301954415336e-34,"QRSL1"
"SDE2",4.25530825605535e-39,0.323783457321808,0.401,0.182,1.02693354143384e-34,"SDE2"
"CHST11",4.39853432076671e-39,0.133779833347032,0.265,0.109,1.06149828763063e-34,"CHST11"
"ELAVL1",4.40334331194279e-39,0.0601700650718434,0.344,0.186,1.06265884147115e-34,"ELAVL1"
"ACTR10",4.44966221640879e-39,-0.0988566922965896,0.283,0.191,1.07383698268593e-34,"ACTR10"
"FAAP20",4.51216512186203e-39,0.068273917701596,0.438,0.264,1.08892080885896e-34,"FAAP20"
"HARS",4.63797970665278e-39,0.0506302120370359,0.256,0.124,1.11928364260652e-34,"HARS"
"CNP",4.65780377857058e-39,0.199992365356392,0.248,0.082,1.12406778588244e-34,"CNP"
"RTCB",4.77066559315571e-39,0.0985002002768995,0.338,0.173,1.15130472759627e-34,"RTCB"
"ARHGAP12",4.79606729948064e-39,-0.411775211835427,0.179,0.192,1.15743492138366e-34,"ARHGAP12"
"RNF141",4.90238063886171e-39,-0.0296914237334056,0.291,0.161,1.1830915195765e-34,"RNF141"
"ZC3HAV1",4.93359130271612e-39,0.0280252816992992,0.643,0.451,1.19062358908448e-34,"ZC3HAV1"
"MBD6",5.18158008083603e-39,0.0688346364053947,0.209,0.087,1.25047072090816e-34,"MBD6"
"SUMO3",5.48133039891823e-39,0.109541721842277,0.428,0.247,1.32280946517094e-34,"SUMO3"
"MALT1",5.57747098851891e-39,0.12500087935084,0.31,0.145,1.34601107365927e-34,"MALT1"
"MSL3",5.73924438402287e-39,-0.130274834934908,0.357,0.245,1.38505184719624e-34,"MSL3"
"SREBF2",5.78768614884071e-39,0.073445437460226,0.28,0.135,1.39674229829973e-34,"SREBF2"
"TICAM1",5.80975451206525e-39,0.255639439273698,0.269,0.088,1.40206805639671e-34,"TICAM1"
"CD69",5.85651136157914e-39,1.29521034814341,0.81,0.603,1.41335188688989e-34,"CD69"
"CEP57",6.13274322405316e-39,-0.230814878683308,0.338,0.272,1.48001492226075e-34,"CEP57"
"NSUN5",6.21259308334608e-39,-0.311877411251257,0.228,0.186,1.49928508880391e-34,"NSUN5"
"CNOT9",6.34852063597385e-39,-0.0944258235033348,0.188,0.111,1.53208848507957e-34,"CNOT9"
"PSMB6",6.39447585563581e-39,-0.013109881751017,0.415,0.268,1.54317885824059e-34,"PSMB6"
"NUDT1",6.44890296876364e-39,0.130810998073537,0.383,0.204,1.55631375345173e-34,"NUDT1"
"GEM",6.47854915735563e-39,0.453222287367842,0.277,0.087,1.56346826814463e-34,"GEM"
"GALNT2",6.59236489301567e-39,0.162564325013507,0.398,0.207,1.59093541963147e-34,"GALNT2"
"HSP90B1",6.59606431481562e-39,0.243444298614845,0.806,0.59,1.59182820109445e-34,"HSP90B1"
"MT-CO3",6.7706172074964e-39,-0.512629449191162,0.998,0.998,1.63395305068511e-34,"MT-CO3"
"RIF1",6.90157523975701e-39,-0.177655610321917,0.272,0.194,1.66555715261056e-34,"RIF1"
"PPP2R3C",7.0343575508688e-39,0.0215273914759619,0.296,0.151,1.69760150775117e-34,"PPP2R3C"
"PRDM8",7.06457038742558e-39,0.0247221225586655,0.209,0.093,1.70489277159741e-34,"PRDM8"
"CHORDC1",7.09771009916085e-39,-0.0404923379838367,0.316,0.181,1.71289037823049e-34,"CHORDC1"
