"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"TRIM4",5.16178867313679e-21,0.024136831125618,0.245,0.118,1.2456944604881e-16,"TRIM4"
"ELOA",5.18978581920183e-21,0.0365338698149399,0.23,0.098,1.25245101174798e-16,"ELOA"
"DUSP11",5.22977418609457e-21,0.0960841236174227,0.348,0.172,1.2621014043302e-16,"DUSP11"
"CFDP1",5.25289171894886e-21,-0.0480578209916956,0.319,0.195,1.26768035853393e-16,"CFDP1"
"LRRC58",5.25369929472845e-21,-0.0361707866974416,0.247,0.131,1.26787525079682e-16,"LRRC58"
"CORO1A",5.25462189119964e-21,0.0516371087820002,0.926,0.76,1.26809790100321e-16,"CORO1A"
"DUS2",5.28230377797316e-21,-0.489580634036906,0.235,0.32,1.27477837073826e-16,"DUS2"
"ARL5B",5.31160303882742e-21,0.0189866796262166,0.185,0.068,1.28184916136022e-16,"ARL5B"
"ATG16L2",5.36564766087164e-21,-0.240701495013318,0.228,0.197,1.29489174999815e-16,"ATG16L2"
"CAMTA1",5.39967964826008e-21,0.12743245537116,0.371,0.19,1.30310468951461e-16,"CAMTA1"
"SIGIRR",5.43882119384461e-21,-0.372542303440652,0.254,0.272,1.31255071871052e-16,"SIGIRR"
"UBN1",5.44217683947808e-21,0.136513301633731,0.344,0.167,1.31336053667125e-16,"UBN1"
"TAGAP",5.49667055005668e-21,-0.278548193642714,0.481,0.389,1.32651150384518e-16,"TAGAP"
"IFNGR2",5.67293121106343e-21,0.128584739797164,0.668,0.447,1.36904848916594e-16,"IFNGR2"
"RAPGEF6",5.79265897388666e-21,-0.131734696536861,0.276,0.177,1.39794239016807e-16,"RAPGEF6"
"SNX14",5.91527741534114e-21,-0.341263983754911,0.261,0.232,1.42753389864428e-16,"SNX14"
"PIK3C2A",5.96929630581823e-21,-0.0715622481163863,0.26,0.154,1.44057027748311e-16,"PIK3C2A"
"WRN",6.00907993340888e-21,-0.068953868542612,0.14,0.061,1.45017126032957e-16,"WRN"
"RHOT2",6.02394188189757e-21,-0.248689716934044,0.309,0.253,1.45375789435834e-16,"RHOT2"
"MARCH9",6.07846577844288e-21,-0.0127084657053744,0.246,0.118,1.46691614631162e-16,"MARCH9"
"DDX28",6.13730948473818e-21,0.0640142512682138,0.18,0.058,1.48111689795186e-16,"DDX28"
"IDH3A",6.15913756464451e-21,0.219731983462923,0.296,0.111,1.48638466847566e-16,"IDH3A"
"ERP44",6.16070663689007e-21,-0.0353110248095609,0.372,0.233,1.48676333268068e-16,"ERP44"
"HOOK3",6.20531032380988e-21,0.0273831939317993,0.455,0.283,1.49752754044504e-16,"HOOK3"
"COL4A4",6.30722574277472e-21,-0.391896616638256,0.26,0.255,1.52212278850382e-16,"COL4A4"
"FUT11",6.40040773942582e-21,0.163719022999878,0.205,0.058,1.54461039975563e-16,"FUT11"
"GON4L",6.45943081163879e-21,-0.258262240452025,0.454,0.374,1.55885443777279e-16,"GON4L"
"TWF1",6.5166669164512e-21,0.0585298679405842,0.32,0.166,1.57266722694717e-16,"TWF1"
"SCAMP3",6.55306886812901e-21,-0.0262864500394048,0.383,0.24,1.58145210994557e-16,"SCAMP3"
"H2AFX",6.56459647972232e-21,0.185765389558096,0.312,0.129,1.58423406845139e-16,"H2AFX"
"DCTN4",6.73107171696163e-21,0.0539890779846561,0.297,0.146,1.62440953745435e-16,"DCTN4"
"FLNA",6.73661534295859e-21,0.275512488772122,0.783,0.546,1.6257473807162e-16,"FLNA"
"PRR14L",6.87574424740325e-21,-0.0623485662349869,0.222,0.127,1.65932335922583e-16,"PRR14L"
"PIH1D1",6.8993767526461e-21,-0.149847237778286,0.352,0.242,1.66502659171608e-16,"PIH1D1"
"RFX5",6.93066607866713e-21,0.0981086419040685,0.344,0.171,1.67257764476474e-16,"RFX5"
"MRPS5",7.06793835205058e-21,0.096443419325244,0.413,0.225,1.70570556250037e-16,"MRPS5"
"JAK1",7.08315848034522e-21,0.243330335150469,0.869,0.651,1.70937863606171e-16,"JAK1"
"DHX38",7.12348228255915e-21,0.00377819702994381,0.292,0.154,1.71910997925e-16,"DHX38"
"CTPS1",7.22279384541007e-21,0.128832416737413,0.182,0.048,1.74307683871281e-16,"CTPS1"
"ARHGAP45",7.40895161881764e-21,-0.0382376901631842,0.773,0.594,1.78800229416926e-16,"ARHGAP45"
"WBP1L",7.44774345288932e-21,0.172685405461064,0.277,0.104,1.79736392748578e-16,"WBP1L"
"DLST",7.46416355033124e-21,0.159413078482478,0.291,0.116,1.80132658960144e-16,"DLST"
"MIR155HG",7.5350897324294e-21,-0.57883736155369,0.261,0.306,1.81844320512719e-16,"MIR155HG"
"KDM5B",7.55178871918236e-21,0.018672618192224,0.264,0.131,1.82247317160028e-16,"KDM5B"
"PTP4A2",7.78196126419367e-21,-0.0943735927736674,0.485,0.346,1.87802071188786e-16,"PTP4A2"
"MED19",7.79275647675002e-21,0.118675186856406,0.288,0.121,1.88062592053408e-16,"MED19"
"FKBP8",7.86475987242497e-21,-0.183765120133748,0.485,0.404,1.89800250001232e-16,"FKBP8"
"TTC7A",8.00989920978396e-21,-0.0287148002413535,0.297,0.166,1.93302897629716e-16,"TTC7A"
"SLC2A1",8.28802146805065e-21,0.0489311374306033,0.249,0.104,2.00014822088466e-16,"SLC2A1"
"DNTTIP1",8.29234661463443e-21,0.18499910811313,0.263,0.084,2.00119200850973e-16,"DNTTIP1"
"CTNNA1",8.54093725116493e-21,0.134948751919105,0.362,0.179,2.06118438682363e-16,"CTNNA1"
"TBL1X",8.55825795210779e-21,0.121831388017136,0.199,0.063,2.06536439158217e-16,"TBL1X"
"MALAT1",8.79264854030531e-21,-0.668983345330433,1,1,2.12192987223188e-16,"MALAT1"
"FAM131A",8.94726637395947e-21,0.103251171997251,0.12,0.012,2.15924379402764e-16,"FAM131A"
"PDHB",8.99063063672632e-21,0.113180649141793,0.361,0.184,2.16970889156116e-16,"PDHB"
"B4GALT1",9.0475277354876e-21,0.181149961174635,0.716,0.483,2.18343986840522e-16,"B4GALT1"
"FAM120A",9.07390174528932e-21,-0.263742046171645,0.24,0.185,2.18980470819067e-16,"FAM120A"
"RAB5B",9.49570845184962e-21,-0.0288724491290907,0.292,0.174,2.29159932068487e-16,"RAB5B"
"PCID2",9.60922105390873e-21,-0.0183289506739861,0.286,0.157,2.31899331693979e-16,"PCID2"
"CDC42EP3",9.7155387705671e-21,0.113317903689956,0.395,0.212,2.34465097150096e-16,"CDC42EP3"
"NDUFAF3",9.74022617158765e-21,0.181621530391232,0.46,0.248,2.35060878198925e-16,"NDUFAF3"
"TDP2",9.78120087846317e-21,0.0138530228126107,0.246,0.119,2.36049720799952e-16,"TDP2"
"FRG1",9.78484470058591e-21,0.014706328374702,0.385,0.237,2.3613765715924e-16,"FRG1"
"B4GALT3",9.8494508736863e-21,-0.052586589306984,0.367,0.238,2.37696797934672e-16,"B4GALT3"
"NUP107",1.00154948616355e-20,-0.315685262615888,0.242,0.235,2.4170393749585e-16,"NUP107"
"DNAJC21",1.00249229243542e-20,0.0927993107315167,0.25,0.103,2.4193146493344e-16,"DNAJC21"
"EHD1",1.01008502341024e-20,0.222960118935265,0.578,0.346,2.43763818699592e-16,"EHD1"
"GTF2H1",1.03309096476586e-20,-0.081687834221528,0.264,0.159,2.49315842526945e-16,"GTF2H1"
"STAM",1.04675465540172e-20,-0.052682588290095,0.33,0.2,2.52613300988096e-16,"STAM"
"G6PD",1.06690541819235e-20,-0.07411290592257,0.302,0.195,2.5747628457236e-16,"G6PD"
"EMC6",1.06763646147617e-20,0.155072738146245,0.39,0.195,2.57652707248043e-16,"EMC6"
"CNN2",1.07005194687319e-20,0.365832704201376,0.81,0.575,2.58235636338907e-16,"CNN2"
"CDV3",1.08838834777428e-20,0.151998937770813,0.444,0.243,2.62660759968367e-16,"CDV3"
"WDR43",1.09508220316114e-20,-0.105615214373112,0.276,0.177,2.64276188088879e-16,"WDR43"
"BRK1",1.10540239527474e-20,0.0532958549275984,0.677,0.49,2.66766760051654e-16,"BRK1"
"PSMC5",1.12483469825048e-20,-0.0791790833613301,0.492,0.366,2.71456357728788e-16,"PSMC5"
"IRF2",1.12934170070343e-20,-0.300953123157618,0.344,0.296,2.72544032630758e-16,"IRF2"
"BAZ2B",1.14914294456491e-20,-0.192665428630778,0.231,0.154,2.7732266681185e-16,"BAZ2B"
"C1GALT1",1.15653930755731e-20,-0.0531313626003991,0.319,0.19,2.79107631092807e-16,"C1GALT1"
"SEPHS2",1.16810326083888e-20,0.202774070933128,0.347,0.149,2.81898359938248e-16,"SEPHS2"
"SSB",1.17622575648296e-20,-0.123920709766243,0.478,0.364,2.83858561812032e-16,"SSB"
"ATF1",1.18116451028575e-20,0.160357463843884,0.259,0.093,2.8505043126726e-16,"ATF1"
"GPATCH8",1.18843228093986e-20,-0.0880396947369328,0.463,0.326,2.86804362359217e-16,"GPATCH8"
"EXOC4",1.19852193275118e-20,-0.320732282386225,0.31,0.268,2.89239298030843e-16,"EXOC4"
"UMAD1",1.20941851467192e-20,-0.0186370969071957,0.231,0.109,2.91868970145774e-16,"UMAD1"
"ODF2L",1.21797897173408e-20,-0.0650077775053439,0.302,0.185,2.93934865248585e-16,"ODF2L"
"RAMMET",1.22107219689224e-20,0.26817339255478,0.339,0.132,2.94681353276004e-16,"RAMMET"
"RGS12",1.22152996165549e-20,0.300038577067399,0.148,0.015,2.9479182564632e-16,"RGS12"
"FCRL5",1.24817204996332e-20,-0.58222197914316,0.379,0.419,3.01221360817649e-16,"FCRL5"
"ASNSD1",1.24858790525956e-20,0.163918915648861,0.274,0.103,3.0132171917629e-16,"ASNSD1"
"RASGRP3",1.26668125295409e-20,-0.331267561748183,0.321,0.303,3.0568818677541e-16,"RASGRP3"
"SCYL1",1.27587296328165e-20,0.151676654984701,0.267,0.099,3.0790642222876e-16,"SCYL1"
"PLEKHA1",1.2882438231742e-20,-0.133317794760363,0.276,0.175,3.10891881846631e-16,"PLEKHA1"
"RPS6KC1",1.32887501540211e-20,-0.104115973933047,0.195,0.106,3.20697407466991e-16,"RPS6KC1"
"WDR44",1.33839281874934e-20,0.12175240272364,0.204,0.066,3.22994338948778e-16,"WDR44"
"PAQR3",1.34056997805225e-20,0.173770945912543,0.149,0.02,3.23519752803349e-16,"PAQR3"
"SUPT20H",1.37703484277817e-20,-0.141088358799888,0.273,0.185,3.32319818607655e-16,"SUPT20H"
